,State,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean,Pollution Index
71,Connecticut,2008,10.542381460301486,26.084358793969887,1.249225908542713,343.89121306532667,381.7671792281408
72,Connecticut,2009,10.860680024156354,23.763089165186376,1.4085442401420964,313.64586500888373,349.67817843836855
73,Connecticut,2010,9.739028127340847,27.474275905118756,0.9496234843945063,279.9570967540603,318.12002427091437
74,Connecticut,2011,8.533361105362191,28.97121872060223,0.9024359614299169,221.2534435559754,259.6604593433697
75,Connecticut,2012,7.276309031775712,30.1937271028038,0.6422347060747678,213.4081065420584,251.52037738271267
76,Connecticut,2013,7.411335839067684,31.19489900110995,0.5516750998890133,203.13938845727034,242.297298397337
77,Connecticut,2014,7.237452216247146,30.38544965675047,0.5732451773455378,202.23465160183133,240.43079865217447
78,Connecticut,2015,8.045103610660497,31.103356894554114,0.3656384501738124,215.42820741599127,254.9423063713797
79,Country Of Mexico,2006,20.451521242842112,23.011423117709715,1.5970209262990471,892.0294862142123,937.0894515010632
80,Country Of Mexico,2007,20.372632317857118,22.46138214285709,1.6406719345238079,804.5348309523819,849.0095173476199
81,Country Of Mexico,2008,20.11162247814908,21.141493573264793,1.6757802017994852,796.6067005141391,839.5355967673524
82,Country Of Mexico,2009,23.0326883888889,22.321129629629624,5.867554925925923,1039.7330462962973,1090.9544192407418
83,Country Of Mexico,2010,18.5910497632312,22.1874735376045,1.9573118300835644,807.8017353760459,850.5375705069652
84,Country Of Mexico,2011,22.3873835460993,16.82285342789594,3.5823167754137097,913.6374869976354,956.4300407470444
85,Delaware,2011,11.071232976190473,24.98275396825403,1.2262590992063482,247.3020654761898,284.58231151984063
86,Delaware,2012,12.46817790752687,26.496333333333368,1.0000634344086012,266.0903290322582,306.05490370752705
87,Delaware,2013,10.792126883720922,28.940674418604637,0.8980670348837209,238.50300775193804,279.1338760891473
88,Delaware,2014,11.679319452261328,26.187391959798976,1.1228957311557803,255.9361658291458,294.92577297236187
89,Delaware,2015,10.075421769230774,28.37354751131225,0.739750522624435,300.6503438914028,339.8390636945703
90,Delaware,2016,13.77105545238096,25.15894047619044,0.828227196428571,282.874422619048,322.632645744048
91,District Of Columbia,2000,22.72571730769227,17.56739560439568,8.137539842032979,1175.6959697802172,1224.1266225343381
92,District Of Columbia,2001,24.47431118338107,20.935893982808,6.651348691977078,1075.424108882523,1127.4856627406891
93,District Of Columbia,2002,24.44103580273976,24.150441095890432,6.7127086904109525,1158.7947835616455,1214.0989691506866
94,District Of Columbia,2003,22.640754349030477,19.37184764542932,8.32318670360112,896.3699445983382,946.7057332963991
95,District Of Columbia,2004,20.956403725274743,19.498175824175792,6.475044528846149,617.589045329671,664.5186694079676
96,District Of Columbia,2005,20.83678835911599,21.643571823204383,4.48395299447514,848.8915138121539,895.8558269889494
97,District Of Columbia,2006,15.966559909589112,26.704019178082287,4.5250028821917665,1115.8484082191783,1163.0439901890416
98,District Of Columbia,2007,15.332143955555598,28.555570370370436,5.021016170370373,1196.9047348148156,1245.813465311112
99,District Of Columbia,2008,18.0577992361111,26.467700000000047,5.556448202777774,1221.5623333333322,1271.644280772221
